date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:34	12537/12537	---M-Z	200	added ('OK')	text/html	etag:fbfcb8ed97eee864f3f2ecf028eb8f20	http://somnus.mediumra.re/index.html	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/index.html	(from )
14:00:34	70/70	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Apr%202023%2008:30:34%20GMT	http://somnus.mediumra.re/robots.txt		(from )
14:00:35	311324/311324	---M-Z	200	added ('OK')	text/css	etag:96e8c460bae570016348ede423eda985	http://somnus.mediumra.re/css/bootstrap.css	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/css/bootstrap.css	(from http://somnus.mediumra.re/index.html)
14:00:35	6298/6298	---M-Z	200	added ('OK')	text/css	etag:5c8f761536a0dea80b9341a794e3fe7f	http://somnus.mediumra.re/css/flexslider.css	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/css/flexslider.css	(from http://somnus.mediumra.re/index.html)
14:00:35	2996/2996	---M-Z	200	added ('OK')	text/css	etag:1546f3ae085718d11a6fcd6c1e36903a	http://somnus.mediumra.re/css/lightbox.min.css	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/css/lightbox.min.css	(from http://somnus.mediumra.re/index.html)
14:00:35	53691/53691	---M-Z	200	added ('OK')	text/css	etag:2760e858b65bc67cf02e3117dd142f15	http://somnus.mediumra.re/css/theme.css	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/css/theme.css	(from http://somnus.mediumra.re/index.html)
14:00:36	7886/7886	---M--	200	added ('OK')	image/png	etag:e4462e8e445f62d89133229a1015572b	http://somnus.mediumra.re/img/logo-dark.png	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/img/logo-dark.png	(from http://somnus.mediumra.re/index.html)
14:00:37	13161/13161	---M-Z	200	added ('OK')	text/html	etag:3915c387aec204bdd63438ea18e1f636	http://somnus.mediumra.re/about.html	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/about.html	(from http://somnus.mediumra.re/index.html)
14:00:38	11663/11663	---M-Z	200	added ('OK')	text/html	etag:8af1c1e723dad56a1bdbf2bf0e12b2ee	http://somnus.mediumra.re/news.html	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/news.html	(from http://somnus.mediumra.re/index.html)
14:00:39	10351/10351	---M-Z	200	added ('OK')	text/html	etag:ab43e8ea5bf36ef484172198a0bcf6ac	http://somnus.mediumra.re/class-single.html	C:/Users/anike/OneDrive/Desktop/web/Yoga/somnus.mediumra.re/class-single.html	(from http://somnus.mediumra.re/index.html)
